index,Date,Area,Total population,Sex ratio,Median age,Under 18 years,18 years and over,62 years and over,Total housing units
0,2020-01-04,Illinois,12716597,96.6,38.3,2855564,9861033,2443653,5373547
1,2020-01-11,Illinois,12718185,96.62,38.3,2856043,9862141,2444201,5374143
2,2020-01-18,Illinois,12720205,96.64,38.31,2856654,9863551,2444898,5374900
3,2020-01-25,Illinois,12722226,96.66,38.31,2857264,9864961,2445594,5375658
4,2020-02-01,Illinois,12724246,96.68,38.32,2857875,9866372,2446291,5376415
5,2020-02-08,Illinois,12726267,96.7,38.32,2858485,9867782,2446988,5377173
6,2020-02-15,Illinois,12728288,96.71,38.32,2859096,9869192,2447685,5377930
7,2020-02-22,Illinois,12730308,96.73,38.33,2859706,9870602,2448381,5378688
8,2020-02-29,Illinois,12732329,96.75,38.33,2860317,9872012,2449078,5379446
9,2020-03-07,Illinois,12734349,96.77,38.33,2860927,9873422,2449775,5380203
10,2020-03-14,Illinois,12736370,96.79,38.34,2861538,9874833,2450472,5380961
11,2020-03-21,Illinois,12738391,96.81,38.34,2862148,9876243,2451168,5381718
12,2020-03-28,Illinois,12740411,96.83,38.35,2862758,9877653,2451865,5382476
13,2020-04-04,Illinois,12742432,96.85,38.35,2863369,9879063,2452562,5383233
14,2020-04-11,Illinois,12744453,96.87,38.35,2863979,9880473,2453259,5383991
15,2020-04-18,Illinois,12746473,96.89,38.36,2864590,9881883,2453956,5384749
16,2020-04-25,Illinois,12748494,96.91,38.36,2865200,9883293,2454652,5385506
17,2020-05-02,Illinois,12750514,96.93,38.37,2865811,9884704,2455349,5386264
18,2020-05-09,Illinois,12752535,96.94,38.37,2866421,9886114,2456046,5387021
19,2020-05-16,Illinois,12754556,96.96,38.37,2867032,9887524,2456743,5387779
20,2020-05-23,Illinois,12756576,96.98,38.38,2867642,9888934,2457439,5388536
21,2020-05-30,Illinois,12758597,97.0,38.38,2868253,9890344,2458136,5389294
22,2020-06-06,Illinois,12760617,97.02,38.38,2868863,9891754,2458833,5390052
23,2020-06-13,Illinois,12762638,97.04,38.39,2869473,9893165,2459530,5390809
24,2020-06-20,Illinois,12764659,97.06,38.39,2870084,9894575,2460226,5391567
25,2020-06-27,Illinois,12766679,97.08,38.4,2870694,9895985,2460923,5392324
26,2020-07-04,Illinois,12768700,97.1,38.4,2871305,9897395,2461620,5393082
27,2020-07-11,Illinois,12770720,97.12,38.4,2871915,9898805,2462317,5393839
28,2020-07-18,Illinois,12772741,97.14,38.41,2872526,9900215,2463013,5394597
29,2020-07-25,Illinois,12774762,97.15,38.41,2873136,9901626,2463710,5395354
30,2020-08-01,Illinois,12776782,97.17,38.41,2873747,9903036,2464407,5396112
31,2020-08-08,Illinois,12778803,97.19,38.42,2874357,9904446,2465104,5396870
32,2020-08-15,Illinois,12780823,97.21,38.42,2874968,9905856,2465801,5397627
33,2020-08-22,Illinois,12782844,97.23,38.43,2875578,9907266,2466497,5398385
34,2020-08-29,Illinois,12784865,97.25,38.43,2876188,9908676,2467194,5399142
35,2020-09-05,Illinois,12786885,97.27,38.43,2876799,9910086,2467891,5399900
36,2020-09-12,Illinois,12788906,97.29,38.44,2877409,9911497,2468588,5400657
