index,Date,Area,Total enrolled in school,"Nursery school, preschool",Kindergarten to 12th grade,Kindergarten,Elementary,Middle school,High school,"College, undergraduate","Graduate, professional school"
0,2020-01-04,Illinois,3166956,215005,2092241,147751,614328,654611,675551,662018,197692
1,2020-01-11,Illinois,3167195,214897,2092781,147799,614419,654794,675769,661814,197702
2,2020-01-18,Illinois,3167499,214760,2093470,147860,614534,655028,676047,661555,197715
3,2020-01-25,Illinois,3167804,214622,2094158,147921,614650,655261,676325,661295,197729
4,2020-02-01,Illinois,3168108,214484,2094846,147983,614766,655494,676604,661035,197742
5,2020-02-08,Illinois,3168412,214346,2095535,148044,614882,655728,676882,660776,197755
6,2020-02-15,Illinois,3168716,214209,2096223,148105,614997,655961,677160,660516,197768
7,2020-02-22,Illinois,3169020,214071,2096912,148166,615113,656194,677438,660256,197781
8,2020-02-29,Illinois,3169325,213933,2097600,148227,615229,656428,677716,659997,197795
9,2020-03-07,Illinois,3169629,213796,2098288,148288,615345,656661,677994,659737,197808
10,2020-03-14,Illinois,3169933,213658,2098977,148349,615460,656894,678273,659477,197821
11,2020-03-21,Illinois,3170237,213520,2099665,148411,615576,657127,678551,659218,197834
12,2020-03-28,Illinois,3170542,213383,2100353,148472,615692,657361,678829,658958,197847
13,2020-04-04,Illinois,3170846,213245,2101042,148533,615808,657594,679107,658699,197861
14,2020-04-11,Illinois,3171150,213107,2101730,148594,615923,657827,679385,658439,197874
15,2020-04-18,Illinois,3171454,212969,2102419,148655,616039,658061,679663,658179,197887
16,2020-04-25,Illinois,3171758,212832,2103107,148716,616155,658294,679942,657920,197900
17,2020-05-02,Illinois,3172063,212694,2103795,148777,616271,658527,680220,657660,197913
18,2020-05-09,Illinois,3172367,212556,2104484,148839,616386,658761,680498,657400,197927
19,2020-05-16,Illinois,3172671,212419,2105172,148900,616502,658994,680776,657141,197940
20,2020-05-23,Illinois,3172975,212281,2105860,148961,616618,659227,681054,656881,197953
21,2020-05-30,Illinois,3173279,212143,2106549,149022,616734,659461,681332,656621,197966
22,2020-06-06,Illinois,3173584,212005,2107237,149083,616849,659694,681611,656362,197979
