"Label (Grouping)","Occupied housing units","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Less than $5,000","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$5,000 to $9,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$15,000 to $19,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS","Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300","Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499","Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799","Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent","Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!No cash rent"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,001,904","","175,988","86,484","167,954","145,886","166,323","325,873","493,412","755,975","637,303","896,614","1,150,092","81,702","","132,690","288,766","660,916","550,194","1,200,388","805,907","520,237","306,888","465,611","70,307","1,330","","477,753","14,215","37,286","426,252","482,018","56,999","75,004","350,015","484,534","106,868","131,571","246,095","745,411","277,955","237,052","230,404","2,665,537","1,891,426","566,440","207,671","76,344","70,307"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,001,904","","3.5%","1.7%","3.4%","2.9%","3.3%","6.5%","9.9%","15.1%","12.7%","17.9%","23.0%","81,702","","2.7%","5.8%","13.2%","11.0%","24.0%","16.1%","10.4%","6.1%","9.3%","1.4%","1,330","","9.6%","0.3%","0.7%","8.5%","9.6%","1.1%","1.5%","7.0%","9.7%","2.1%","2.6%","4.9%","14.9%","5.6%","4.7%","4.6%","53.3%","37.8%","11.3%","4.2%","1.5%","1.4%"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,343,034","","62,725","32,796","54,356","62,773","74,308","160,182","274,407","476,685","444,293","698,207","1,002,302","101,665","","82,033","221,124","475,118","330,357","675,990","521,917","381,600","249,436","405,459","(X)","1,410","","185,516","7,528","12,318","165,670","234,490","44,378","46,508","143,604","274,407","87,296","70,736","116,375","476,685","214,986","121,381","140,318","2,144,802","1,557,475","419,911","167,416","27,134","(X)"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,343,034","","1.9%","1.0%","1.6%","1.9%","2.2%","4.8%","8.2%","14.3%","13.3%","20.9%","30.0%","101,665","","2.5%","6.6%","14.2%","9.9%","20.2%","15.6%","11.4%","7.5%","12.1%","(X)","1,410","","5.5%","0.2%","0.4%","5.0%","7.0%","1.3%","1.4%","4.3%","8.2%","2.6%","2.1%","3.5%","14.3%","6.4%","3.6%","4.2%","64.2%","46.6%","12.6%","5.0%","0.8%","(X)"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,658,870","","113,263","53,688","113,598","83,113","92,015","165,691","219,005","279,290","193,010","198,407","147,790","49,237","","50,657","67,642","185,798","219,837","524,398","283,990","138,637","57,452","60,152","70,307","1,227","","292,237","6,687","24,968","260,582","247,528","12,621","28,496","206,411","210,127","19,572","60,835","129,720","268,726","62,969","115,671","90,086","520,735","333,951","146,529","40,255","49,210","70,307"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,658,870","","6.8%","3.2%","6.8%","5.0%","5.5%","10.0%","13.2%","16.8%","11.6%","12.0%","8.9%","49,237","","3.1%","4.1%","11.2%","13.3%","31.6%","17.1%","8.4%","3.5%","3.6%","4.2%","1,227","","17.6%","0.4%","1.5%","15.7%","14.9%","0.8%","1.7%","12.4%","12.7%","1.2%","3.7%","7.8%","16.2%","3.8%","7.0%","5.4%","31.4%","20.1%","8.8%","2.4%","3.0%","4.2%"
