index,Date,Area,Median_household_income,Median_housing_costs
0,2020-01-04,Illinois,68445,1147
1,2020-01-11,Illinois,68507,1148
2,2020-01-18,Illinois,68586,1149
3,2020-01-25,Illinois,68665,1150
4,2020-02-01,Illinois,68744,1151
5,2020-02-08,Illinois,68823,1152
6,2020-02-15,Illinois,68903,1153
7,2020-02-22,Illinois,68982,1154
8,2020-02-29,Illinois,69061,1155
9,2020-03-07,Illinois,69140,1156
10,2020-03-14,Illinois,69219,1157
11,2020-03-21,Illinois,69298,1158
12,2020-03-28,Illinois,69377,1159
13,2020-04-04,Illinois,69456,1160
14,2020-04-11,Illinois,69535,1161
15,2020-04-18,Illinois,69614,1162
16,2020-04-25,Illinois,69693,1163
17,2020-05-02,Illinois,69772,1164
18,2020-05-09,Illinois,69852,1165
19,2020-05-16,Illinois,69931,1166
20,2020-05-23,Illinois,70010,1167
21,2020-05-30,Illinois,70089,1168
22,2020-06-06,Illinois,70168,1169
23,2020-06-13,Illinois,70247,1170
24,2020-06-20,Illinois,70326,1171
25,2020-06-27,Illinois,70405,1172
26,2020-07-04,Illinois,70484,1173
27,2020-07-11,Illinois,70563,1174
28,2020-07-18,Illinois,70642,1175
29,2020-07-25,Illinois,70721,1176
30,2020-08-01,Illinois,70801,1177
31,2020-08-08,Illinois,70880,1178
32,2020-08-15,Illinois,70959,1179
33,2020-08-22,Illinois,71038,1180
34,2020-08-29,Illinois,71117,1181
35,2020-09-05,Illinois,71196,1182
36,2020-09-12,Illinois,71275,1183
37,2020-09-19,Illinois,71354,1184
38,2020-09-26,Illinois,71433,1185
39,2020-10-03,Illinois,71512,1186
40,2020-10-10,Illinois,71591,1187
41,2020-10-17,Illinois,71670,1188
42,2020-10-24,Illinois,71750,1189
43,2020-10-31,Illinois,71829,1190
44,2020-11-07,Illinois,71908,1191
45,2020-11-14,Illinois,71987,1192
46,2020-11-21,Illinois,72066,1193
47,2020-11-28,Illinois,72145,1194
48,2020-12-05,Illinois,72224,1195
49,2020-12-12,Illinois,72303,1196
50,2020-12-19,Illinois,72382,1197
51,2020-12-26,Illinois,72461,1198
52,2021-01-02,Illinois,72541,1199
53,2021-01-09,Illinois,72643,1200
54,2021-01-16,Illinois,72756,1202
55,2021-01-23,Illinois,72869,1203
56,2021-01-30,Illinois,72981,1205
57,2021-02-06,Illinois,73094,1207
58,2021-02-13,Illinois,73206,1208
59,2021-02-20,Illinois,73319,1210
60,2021-02-27,Illinois,73431,1212
61,2021-03-06,Illinois,73544,1213
62,2021-03-13,Illinois,73657,1215
63,2021-03-20,Illinois,73769,1216
64,2021-03-27,Illinois,73882,1218
65,2021-04-03,Illinois,73994,1220
66,2021-04-10,Illinois,74107,1221
67,2021-04-17,Illinois,74219,1223
68,2021-04-24,Illinois,74332,1225
69,2021-05-01,Illinois,74445,1226
70,2021-05-08,Illinois,74557,1228
71,2021-05-15,Illinois,74670,1230
72,2021-05-22,Illinois,74782,1231
73,2021-05-29,Illinois,74895,1233
74,2021-06-05,Illinois,75007,1234
75,2021-06-12,Illinois,75120,1236
76,2021-06-19,Illinois,75233,1238
77,2021-06-26,Illinois,75345,1239
78,2021-07-03,Illinois,75458,1241
79,2021-07-10,Illinois,75570,1243
80,2021-07-17,Illinois,75683,1244
81,2021-07-24,Illinois,75796,1246
82,2021-07-31,Illinois,75908,1247
83,2021-08-07,Illinois,76021,1249
84,2021-08-14,Illinois,76133,1251
85,2021-08-21,Illinois,76246,1252
86,2021-08-28,Illinois,76358,1254
87,2021-09-04,Illinois,76471,1256
88,2021-09-11,Illinois,76584,1257
89,2021-09-18,Illinois,76696,1259
90,2021-09-25,Illinois,76809,1260
91,2021-10-02,Illinois,76921,1262
92,2021-10-09,Illinois,77034,1264
93,2021-10-16,Illinois,77146,1265
94,2021-10-23,Illinois,77259,1267
95,2021-10-30,Illinois,77372,1269
96,2021-11-06,Illinois,77484,1270
97,2021-11-13,Illinois,77597,1272
98,2021-11-20,Illinois,77709,1274
99,2021-11-27,Illinois,77822,1275
100,2021-12-04,Illinois,77934,1277
101,2021-12-11,Illinois,78047,1278
102,2021-12-18,Illinois,78160,1280
103,2021-12-25,Illinois,78272,1282
104,2022-01-01,Illinois,78385,1283
105,2022-01-08,Illinois,78469,1285
106,2022-01-15,Illinois,78532,1285
107,2022-01-22,Illinois,78594,1286
108,2022-01-29,Illinois,78657,1287
109,2022-02-05,Illinois,78720,1288
110,2022-02-12,Illinois,78782,1289
111,2022-02-19,Illinois,78845,1290
112,2022-02-26,Illinois,78908,1291
113,2022-03-05,Illinois,78970,1292
114,2022-03-12,Illinois,79033,1292
115,2022-03-19,Illinois,79096,1293
116,2022-03-26,Illinois,79158,1294
117,2022-04-02,Illinois,79221,1295
118,2022-04-09,Illinois,79284,1296
119,2022-04-16,Illinois,79347,1297
